 kgrid  ValNew  Policy 
     0.85  -9.25458      0.85
   0.8503  -9.22395      0.85
 0.850601  -9.19346      0.85
 0.850901  -9.16308      0.85
 0.851201  -9.13284      0.85
 0.851502  -9.10272      0.85
 0.851802  -9.07272      0.85
 0.852102  -9.04285      0.85
 0.852402   -9.0131      0.85
 0.852703  -8.98348      0.85
 0.853003  -8.95398      0.85
 0.853303   -8.9246      0.85
 0.853604  -8.89534      0.85
 0.853904   -8.8662      0.85
 0.854204  -8.83718      0.85
 0.854505  -8.80828      0.85
 0.854805   -8.7795      0.85
 0.855105  -8.75084      0.85
 0.855405   -8.7223      0.85
 0.855706  -8.69387      0.85
 0.856006  -8.66556      0.85
 0.856306  -8.63737      0.85
 0.856607  -8.60929      0.85
 0.856907  -8.58132      0.85
 0.857207  -8.55347      0.85
 0.857508  -8.52573      0.85
 0.857808  -8.49811      0.85
 0.858108   -8.4706      0.85
 0.858408   -8.4432      0.85
 0.858709  -8.41591      0.85
 0.859009  -8.38874      0.85
 0.859309  -8.36167      0.85
  0.85961  -8.33472      0.85
  0.85991  -8.30787      0.85
  0.86021  -8.28113      0.85
 0.860511   -8.2545      0.85
 0.860811  -8.22798      0.85
 0.861111  -8.20156      0.85
 0.861411  -8.17525      0.85
 0.861712  -8.14905      0.85
 0.862012  -8.12295      0.85
 0.862312  -8.09696      0.85
 0.862613  -8.07108      0.85
 0.862913  -8.04529      0.85
 0.863213  -8.01961      0.85
 0.863514  -7.99404      0.85
 0.863814  -7.96856      0.85
 0.864114  -7.94319      0.85
 0.864414  -7.91792      0.85
 0.864715  -7.89275      0.85
 0.865015  -7.86768      0.85
 0.865315  -7.84271      0.85
 0.865616  -7.81785      0.85
 0.865916  -7.79308      0.85
 0.866216  -7.76841      0.85
 0.866517  -7.74383      0.85
 0.866817  -7.71936      0.85
 0.867117  -7.69498      0.85
 0.867417   -7.6707      0.85
 0.867718  -7.64652      0.85
 0.868018  -7.62243      0.85
 0.868318  -7.59843      0.85
 0.868619  -7.57454      0.85
 0.868919  -7.55073      0.85
 0.869219  -7.52702      0.85
  0.86952  -7.50341      0.85
  0.86982  -7.47988      0.85
  0.87012  -7.45645      0.85
  0.87042  -7.43312      0.85
 0.870721  -7.40987      0.85
 0.871021  -7.38672      0.85
 0.871321  -7.36365      0.85
 0.871622  -7.34068      0.85
 0.871922   -7.3178      0.85
 0.872222  -7.29501      0.85
 0.872523   -7.2723      0.85
 0.872823  -7.24969      0.85
 0.873123  -7.22716      0.85
 0.873423  -7.20472      0.85
 0.873724  -7.18237      0.85
 0.874024  -7.16011      0.85
 0.874324  -7.13793      0.85
 0.874625  -7.11584      0.85
 0.874925  -7.09384      0.85
 0.875225  -7.07192      0.85
 0.875526  -7.05008      0.85
 0.875826  -7.02834      0.85
 0.876126  -7.00667      0.85
 0.876426  -6.98509      0.85
 0.876727  -6.96359      0.85
 0.877027  -6.94218      0.85
 0.877327  -6.92085      0.85
 0.877628   -6.8996      0.85
 0.877928  -6.87843      0.85
 0.878228  -6.85735      0.85
 0.878529  -6.83635      0.85
 0.878829  -6.81542      0.85
 0.879129  -6.79458      0.85
 0.879429  -6.77382      0.85
  0.87973  -6.75314      0.85
  0.88003  -6.73254      0.85
  0.88033  -6.71201      0.85
 0.880631  -6.69157      0.85
 0.880931   -6.6712      0.85
 0.881231  -6.65091      0.85
 0.881532   -6.6307      0.85
 0.881832  -6.61057      0.85
 0.882132  -6.59051      0.85
 0.882432  -6.57053      0.85
 0.882733  -6.55063      0.85
 0.883033   -6.5308      0.85
 0.883333  -6.51105      0.85
 0.883634  -6.49137      0.85
 0.883934  -6.47177      0.85
 0.884234  -6.45224      0.85
 0.884535  -6.43278      0.85
 0.884835   -6.4134      0.85
 0.885135   -6.3941      0.85
 0.885435  -6.37486      0.85
 0.885736   -6.3557      0.85
 0.886036  -6.33661      0.85
 0.886336  -6.31759      0.85
 0.886637  -6.29865      0.85
 0.886937  -6.27978      0.85
 0.887237  -6.26097      0.85
 0.887538  -6.24224      0.85
 0.887838  -6.22358      0.85
 0.888138  -6.20499      0.85
 0.888438  -6.18647      0.85
 0.888739  -6.16802      0.85
 0.889039  -6.14964      0.85
 0.889339  -6.13132      0.85
  0.88964  -6.11308      0.85
  0.88994   -6.0949      0.85
  0.89024  -6.07679      0.85
 0.890541  -6.05875      0.85
 0.890841  -6.04078      0.85
