 kgrid  ValNew  Policy 
    0.85 -53.9884     0.85
  0.8503 -53.9485     0.85
0.850601 -53.9087     0.85
0.850901 -53.8692     0.85
0.851201 -53.8298     0.85
0.851502 -53.7906     0.85
0.851802 -53.7515     0.85
0.852102 -53.7127     0.85
0.852402  -53.674     0.85
0.852703 -53.6354     0.85
0.853003 -53.5971     0.85
0.853303 -53.5589     0.85
0.853604 -53.5208     0.85
0.853904 -53.4829     0.85
0.854204 -53.4452     0.85
0.854505 -53.4077     0.85
0.854805 -53.3703     0.85
0.855105 -53.3331     0.85
0.855405  -53.296     0.85
0.855706 -53.2591     0.85
0.856006 -53.2224     0.85
0.856306 -53.1858     0.85
0.856607 -53.1493     0.85
0.856907 -53.1131     0.85
0.857207 -53.0769     0.85
0.857508  -53.041     0.85
0.857808 -53.0052     0.85
0.858108 -52.9695     0.85
0.858408  -52.934     0.85
0.858709 -52.8986     0.85
0.859009 -52.8634     0.85
0.859309 -52.8284     0.85
 0.85961 -52.7935     0.85
 0.85991 -52.7587     0.85
 0.86021 -52.7241     0.85
0.860511 -52.6897     0.85
0.860811 -52.6553     0.85
0.861111 -52.6212     0.85
0.861411 -52.5871     0.85
0.861712 -52.5532     0.85
0.862012 -52.5195     0.85
0.862312 -52.4859     0.85
0.862613 -52.4525     0.85
0.862913 -52.4191     0.85
0.863213  -52.386     0.85
0.863514 -52.3529     0.85
0.863814   -52.32     0.85
0.864114 -52.2873     0.85
0.864414 -52.2546     0.85
0.864715 -52.2222     0.85
0.865015 -52.1898     0.85
0.865315 -52.1576     0.85
0.865616 -52.1255     0.85
0.865916 -52.0936     0.85
0.866216 -52.0618     0.85
0.866517 -52.0301     0.85
0.866817 -51.9985     0.85
0.867117 -51.9671     0.85
0.867417 -51.9358     0.85
0.867718 -51.9047     0.85
0.868018 -51.8736     0.85
0.868318 -51.8427     0.85
0.868619  -51.812     0.85
0.868919 -51.7813     0.85
0.869219 -51.7508     0.85
 0.86952 -51.7204     0.85
 0.86982 -51.6901     0.85
 0.87012   -51.66     0.85
 0.87042   -51.63     0.85
0.870721 -51.6001     0.85
