 kgrid  ValNew  Policy 
    0.85 -37.8999     0.85
  0.8503 -37.8693     0.85
0.850601 -37.8388     0.85
0.850901 -37.8085     0.85
0.851201 -37.7782     0.85
0.851502 -37.7481     0.85
0.851802 -37.7181     0.85
0.852102 -37.6882     0.85
0.852402 -37.6585     0.85
0.852703 -37.6288     0.85
0.853003 -37.5993     0.85
0.853303   -37.57     0.85
0.853604 -37.5407     0.85
0.853904 -37.5116     0.85
0.854204 -37.4825   0.8503
0.854505 -37.4535   0.8503
0.854805 -37.4246 0.850601
0.855105 -37.3957 0.850601
0.855405 -37.3669 0.850901
0.855706 -37.3381 0.851201
0.856006 -37.3094 0.851201
0.856306 -37.2807 0.851502
0.856607 -37.2521 0.851802
0.856907 -37.2235 0.851802
0.857207 -37.1949 0.852102
0.857508 -37.1665 0.852402
0.857808 -37.1381 0.852402
0.858108 -37.1097 0.852703
0.858408 -37.0814 0.852703
0.858709 -37.0531 0.853003
0.859009 -37.0249 0.853303
0.859309 -36.9967 0.853303
 0.85961 -36.9686 0.853604
 0.85991 -36.9405 0.853904
 0.86021 -36.9125 0.853904
0.860511 -36.8845 0.854204
0.860811 -36.8566 0.854505
0.861111 -36.8287 0.854505
0.861411 -36.8009 0.854805
0.861712 -36.7732 0.854805
0.862012 -36.7454 0.855105
0.862312 -36.7177 0.855405
0.862613 -36.6901 0.855706
0.862913 -36.6625 0.855706
0.863213 -36.6349 0.856006
0.863514 -36.6074 0.856306
0.863814   -36.58 0.856306
0.864114 -36.5525 0.856607
0.864414 -36.5251 0.856907
0.864715 -36.4978 0.856907
0.865015 -36.4705 0.857207
0.865315 -36.4432 0.857508
0.865616  -36.416 0.857508
0.865916 -36.3889 0.857808
0.866216 -36.3617 0.858108
0.866517 -36.3347 0.858408
0.866817 -36.3076 0.858408
0.867117 -36.2806 0.858709
0.867417 -36.2536 0.859009
0.867718 -36.2267 0.859009
0.868018 -36.1998 0.859309
0.868318  -36.173  0.85961
0.868619 -36.1462  0.85961
0.868919 -36.1195  0.85991
0.869219 -36.0928  0.86021
 0.86952 -36.0661 0.860511
 0.86982 -36.0394 0.860511
 0.87012 -36.0129 0.860811
 0.87042 -35.9863 0.861111
0.870721 -35.9598 0.861111
0.871021 -35.9333 0.861411
0.871321 -35.9069 0.861712
0.871622 -35.8805 0.861712
0.871922 -35.8542 0.862012
0.872222 -35.8279 0.862312
0.872523 -35.8016 0.862312
0.872823 -35.7754 0.862613
0.873123 -35.7492 0.862913
0.873423 -35.7231 0.863213
0.873724  -35.697 0.863213
0.874024 -35.6709 0.863514
0.874324 -35.6449 0.863814
0.874625 -35.6189 0.863814
0.874925  -35.593 0.864114
0.875225 -35.5671 0.864414
0.875526 -35.5412 0.864715
0.875826 -35.5154 0.864715
0.876126 -35.4896 0.865015
0.876426 -35.4639 0.865315
0.876727 -35.4381 0.865315
0.877027 -35.4125 0.865616
0.877327 -35.3868 0.865916
0.877628 -35.3612 0.865916
0.877928 -35.3357 0.866216
0.878228 -35.3102 0.866517
0.878529 -35.2847 0.866817
0.878829 -35.2592 0.866817
0.879129 -35.2338 0.867117
0.879429 -35.2085 0.867417
 0.87973 -35.1831 0.867417
 0.88003 -35.1578 0.867718
 0.88033 -35.1326 0.868018
0.880631 -35.1074 0.868318
0.880931 -35.0822 0.868318
0.881231  -35.057 0.868619
0.881532 -35.0319 0.868919
0.881832 -35.0069 0.868919
0.882132 -34.9818 0.869219
0.882432 -34.9568  0.86952
0.882733 -34.9319  0.86952
0.883033  -34.907  0.86982
0.883333 -34.8821  0.87012
0.883634 -34.8572  0.87042
0.883934 -34.8324  0.87042
0.884234 -34.8076 0.870721
0.884535 -34.7829 0.871021
0.884835 -34.7582 0.871021
0.885135 -34.7335 0.871321
0.885435 -34.7089 0.871622
0.885736 -34.6843 0.871922
0.886036 -34.6597 0.871922
0.886336 -34.6352 0.872222
0.886637 -34.6107 0.872523
0.886937 -34.5863 0.872523
0.887237 -34.5619 0.872823
0.887538 -34.5375 0.873123
0.887838 -34.5131 0.873423
0.888138 -34.4888 0.873423
0.888438 -34.4645 0.873724
0.888739 -34.4403 0.874024
0.889039 -34.4161 0.874324
0.889339 -34.3919 0.874324
 0.88964 -34.3677 0.874625
 0.88994 -34.3436 0.874925
 0.89024 -34.3195 0.875225
0.890541 -34.2954 0.875225
0.890841 -34.2714 0.875526
0.891141 -34.2474 0.875826
0.891441 -34.2234 0.876126
0.891742 -34.1994 0.876426
0.892042 -34.1755 0.876727
0.892342 -34.1516 0.876727
0.892643 -34.1277 0.877027
0.892943 -34.1038 0.877327
0.893243   -34.08 0.877628
0.893544 -34.0562 0.877928
0.893844 -34.0324 0.877928
0.894144 -34.0087 0.878228
0.894444 -33.9849 0.878529
0.894745 -33.9612 0.878829
0.895045 -33.9376 0.879129
0.895345 -33.9139 0.879129
0.895646 -33.8903 0.879429
0.895946 -33.8667  0.87973
0.896246 -33.8432  0.88003
0.896547 -33.8196  0.88033
0.896847 -33.7961  0.88033
0.897147 -33.7726 0.880631
0.897447 -33.7492 0.880931
0.897748 -33.7258 0.881231
0.898048 -33.7024 0.881231
0.898348  -33.679 0.881532
0.898649 -33.6556 0.881832
0.898949 -33.6323 0.882132
0.899249  -33.609 0.882432
 0.89955 -33.5858 0.882733
 0.89985 -33.5625 0.882733
 0.90015 -33.5393 0.883033
 0.90045 -33.5161 0.883333
0.900751 -33.4929 0.883634
0.901051 -33.4698 0.883934
0.901351 -33.4467 0.883934
0.901652 -33.4236 0.884234
0.901952 -33.4005 0.884535
0.902252 -33.3775 0.884835
0.902553 -33.3545 0.885135
0.902853 -33.3315 0.885135
0.903153 -33.3085 0.885435
0.903453 -33.2856 0.885736
0.903754 -33.2626 0.886036
0.904054 -33.2398 0.886336
0.904354 -33.2169 0.886336
0.904655  -33.194 0.886637
0.904955 -33.1712 0.886937
0.905255 -33.1484 0.887237
0.905556 -33.1257 0.887538
0.905856 -33.1029 0.887838
0.906156 -33.0802 0.887838
0.906456 -33.0575 0.888138
0.906757 -33.0348 0.888438
0.907057 -33.0122 0.888739
0.907357 -32.9896 0.889039
0.907658  -32.967 0.889039
0.907958 -32.9444 0.889339
0.908258 -32.9219  0.88964
0.908559 -32.8993  0.88994
0.908859 -32.8769  0.89024
0.909159 -32.8544  0.89024
0.909459 -32.8319 0.890541
 0.90976 -32.8095 0.890841
 0.91006 -32.7871 0.891141
 0.91036 -32.7647 0.891441
0.910661 -32.7424 0.891742
0.910961   -32.72 0.891742
0.911261 -32.6977 0.892042
0.911562 -32.6754 0.892342
0.911862 -32.6532 0.892643
0.912162 -32.6309 0.892943
0.912462 -32.6087 0.892943
0.912763 -32.5865 0.893243
0.913063 -32.5644 0.893544
0.913363 -32.5422 0.893844
0.913664 -32.5201 0.894144
0.913964  -32.498 0.894444
0.914264 -32.4759 0.894444
0.914565 -32.4539 0.894745
0.914865 -32.4318 0.895045
0.915165 -32.4098 0.895345
0.915465 -32.3878 0.895646
0.915766 -32.3659 0.895946
0.916066 -32.3439 0.895946
0.916366  -32.322 0.896246
0.916667 -32.3001 0.896547
0.916967 -32.2782 0.896847
0.917267 -32.2564 0.897147
0.917568 -32.2345 0.897147
0.917868 -32.2127 0.897447
0.918168 -32.1909 0.897748
0.918468 -32.1692 0.898048
0.918769 -32.1474 0.898348
0.919069 -32.1257 0.898649
0.919369  -32.104 0.898649
 0.91967 -32.0824 0.898949
 0.91997 -32.0607 0.899249
 0.92027 -32.0391  0.89955
0.920571 -32.0175  0.89985
0.920871 -31.9959  0.90015
0.921171 -31.9743  0.90015
0.921471 -31.9528  0.90045
0.921772 -31.9312 0.900751
0.922072 -31.9097 0.901051
0.922372 -31.8883 0.901351
0.922673 -31.8668 0.901652
0.922973 -31.8454 0.901652
0.923273  -31.824 0.901952
0.923574 -31.8026 0.902252
0.923874 -31.7812 0.902553
0.924174 -31.7599 0.902853
0.924474 -31.7385 0.902853
0.924775 -31.7172 0.903153
0.925075 -31.6959 0.903453
0.925375 -31.6747 0.903754
0.925676 -31.6534 0.904054
0.925976 -31.6322 0.904354
0.926276  -31.611 0.904354
0.926577 -31.5898 0.904655
0.926877 -31.5687 0.904955
0.927177 -31.5476 0.905255
0.927477 -31.5264 0.905556
0.927778 -31.5054 0.905856
0.928078 -31.4843 0.905856
0.928378 -31.4632 0.906156
0.928679 -31.4422 0.906456
0.928979 -31.4212 0.906757
0.929279 -31.4002 0.907057
