 kgrid  ValNew  Policy 
    0.85  -36.997  0.89024
  0.8503 -36.9736  0.89024
0.850601 -36.9502 0.890541
0.850901 -36.9268 0.890841
0.851201 -36.9034 0.891141
0.851502 -36.8801 0.891441
0.851802 -36.8568 0.891742
0.852102 -36.8335 0.892042
0.852402 -36.8103 0.892342
0.852703  -36.787 0.892342
0.853003 -36.7638 0.892643
0.853303 -36.7406 0.892943
0.853604 -36.7174 0.893243
0.853904 -36.6943 0.893544
0.854204 -36.6712 0.893844
0.854505 -36.6481 0.894144
0.854805  -36.625 0.894144
0.855105 -36.6019 0.894444
0.855405 -36.5789 0.894745
0.855706 -36.5559 0.895045
0.856006 -36.5329 0.895345
0.856306 -36.5099 0.895646
0.856607  -36.487 0.895946
0.856907 -36.4641 0.895946
0.857207 -36.4412 0.896246
0.857508 -36.4183 0.896547
0.857808 -36.3955 0.896847
0.858108 -36.3727 0.897147
0.858408 -36.3499 0.897447
0.858709 -36.3271 0.897748
0.859009 -36.3043 0.897748
0.859309 -36.2816 0.898048
 0.85961 -36.2589 0.898348
 0.85991 -36.2362 0.898649
 0.86021 -36.2135 0.898949
0.860511 -36.1909 0.899249
0.860811 -36.1683  0.89955
0.861111 -36.1457  0.89955
0.861411 -36.1231  0.89985
0.861712 -36.1005  0.90015
0.862012  -36.078  0.90045
0.862312 -36.0555 0.900751
0.862613  -36.033 0.901051
0.862913 -36.0106 0.901351
0.863213 -35.9881 0.901351
0.863514 -35.9657 0.901652
0.863814 -35.9433 0.901952
0.864114 -35.9209 0.902252
0.864414 -35.8986 0.902553
0.864715 -35.8762 0.902853
0.865015 -35.8539 0.903153
0.865315 -35.8316 0.903153
0.865616 -35.8094 0.903453
0.865916 -35.7871 0.903754
0.866216 -35.7649 0.904054
0.866517 -35.7427 0.904354
0.866817 -35.7205 0.904655
0.867117 -35.6984 0.904955
0.867417 -35.6762 0.904955
0.867718 -35.6541 0.905255
0.868018  -35.632 0.905556
0.868318   -35.61 0.905856
0.868619 -35.5879 0.906156
0.868919 -35.5659 0.906456
0.869219 -35.5439 0.906757
 0.86952 -35.5219 0.907057
 0.86982 -35.4999 0.907057
 0.87012  -35.478 0.907357
 0.87042 -35.4561 0.907658
0.870721 -35.4342 0.907958
0.871021 -35.4123 0.908258
0.871321 -35.3904 0.908559
0.871622 -35.3686 0.908859
0.871922 -35.3468 0.908859
0.872222  -35.325 0.909159
0.872523 -35.3032 0.909459
0.872823 -35.2815  0.90976
0.873123 -35.2597  0.91006
0.873423  -35.238  0.91036
0.873724 -35.2163 0.910661
0.874024 -35.1946 0.910961
0.874324  -35.173 0.910961
0.874625 -35.1513 0.911261
0.874925 -35.1297 0.911562
0.875225 -35.1081 0.911862
0.875526 -35.0866 0.912162
0.875826  -35.065 0.912462
0.876126 -35.0435 0.912763
0.876426 -35.0219 0.913063
0.876727 -35.0005 0.913363
0.877027  -34.979 0.913363
0.877327 -34.9575 0.913664
0.877628 -34.9361 0.913964
0.877928 -34.9146 0.914264
0.878228 -34.8932 0.914565
0.878529 -34.8719 0.914865
0.878829 -34.8505 0.915165
0.879129 -34.8292 0.915465
0.879429 -34.8079 0.915465
 0.87973 -34.7865 0.915766
 0.88003 -34.7653 0.916066
 0.88033  -34.744 0.916366
0.880631 -34.7227 0.916667
0.880931 -34.7015 0.916967
0.881231 -34.6803 0.917267
0.881532 -34.6591 0.917568
0.881832  -34.638 0.917568
