 kgrid  ValNew  Policy 
    0.85 -51.0648     0.85
  0.8503 -51.0249     0.85
0.850601 -50.9852     0.85
0.850901 -50.9456     0.85
0.851201 -50.9062     0.85
0.851502  -50.867     0.85
0.851802  -50.828     0.85
0.852102 -50.7891     0.85
0.852402 -50.7504     0.85
0.852703 -50.7119     0.85
0.853003 -50.6735     0.85
0.853303 -50.6353     0.85
0.853604 -50.5972     0.85
0.853904 -50.5594     0.85
0.854204 -50.5217     0.85
0.854505 -50.4841     0.85
0.854805 -50.4467     0.85
0.855105 -50.4095     0.85
0.855405 -50.3724     0.85
0.855706 -50.3355     0.85
0.856006 -50.2988     0.85
0.856306 -50.2622     0.85
0.856607 -50.2258     0.85
0.856907 -50.1895     0.85
0.857207 -50.1534     0.85
0.857508 -50.1174     0.85
0.857808 -50.0816     0.85
0.858108 -50.0459     0.85
0.858408 -50.0104     0.85
0.858709 -49.9751     0.85
0.859009 -49.9399     0.85
0.859309 -49.9048     0.85
 0.85961 -49.8699     0.85
 0.85991 -49.8352     0.85
 0.86021 -49.8005     0.85
0.860511 -49.7661     0.85
0.860811 -49.7318     0.85
0.861111 -49.6976     0.85
0.861411 -49.6636     0.85
0.861712 -49.6297     0.85
0.862012 -49.5959     0.85
0.862312 -49.5623     0.85
0.862613 -49.5289     0.85
0.862913 -49.4956     0.85
0.863213 -49.4624     0.85
0.863514 -49.4294     0.85
0.863814 -49.3965     0.85
0.864114 -49.3637     0.85
0.864414 -49.3311     0.85
0.864715 -49.2986     0.85
0.865015 -49.2662     0.85
0.865315  -49.234     0.85
0.865616 -49.2019     0.85
0.865916   -49.17     0.85
0.866216 -49.1382     0.85
0.866517 -49.1065     0.85
0.866817  -49.075     0.85
0.867117 -49.0435     0.85
0.867417 -49.0123     0.85
0.867718 -48.9811     0.85
0.868018 -48.9501     0.85
0.868318 -48.9192     0.85
0.868619 -48.8884     0.85
0.868919 -48.8578     0.85
0.869219 -48.8272     0.85
 0.86952 -48.7968     0.85
 0.86982 -48.7666     0.85
 0.87012 -48.7364     0.85
 0.87042 -48.7064     0.85
0.870721 -48.6765     0.85
0.871021 -48.6468     0.85
0.871321 -48.6171     0.85
0.871622 -48.5876     0.85
0.871922 -48.5582     0.85
0.872222 -48.5289   0.8503
0.872523 -48.4996   0.8503
0.872823 -48.4704 0.850601
0.873123 -48.4413 0.850901
0.873423 -48.4121 0.850901
0.873724 -48.3831 0.851201
0.874024 -48.3541 0.851201
0.874324 -48.3251 0.851502
0.874625 -48.2962 0.851802
0.874925 -48.2674 0.851802
0.875225 -48.2385 0.852102
0.875526 -48.2098 0.852402
0.875826 -48.1811 0.852402
0.876126 -48.1524 0.852703
0.876426 -48.1238 0.853003
0.876727 -48.0953 0.853003
0.877027 -48.0668 0.853303
0.877327 -48.0383 0.853604
0.877628 -48.0099 0.853604
0.877928 -47.9815 0.853904
0.878228 -47.9531 0.854204
0.878529 -47.9249 0.854204
0.878829 -47.8966 0.854505
0.879129 -47.8684 0.854805
0.879429 -47.8402 0.855105
 0.87973 -47.8121 0.855105
 0.88003  -47.784 0.855405
 0.88033  -47.756 0.855706
0.880631  -47.728 0.855706
0.880931    -47.7 0.856006
0.881231 -47.6721 0.856306
0.881532 -47.6442 0.856306
0.881832 -47.6164 0.856607
0.882132 -47.5886 0.856907
0.882432 -47.5609 0.857207
0.882733 -47.5332 0.857207
0.883033 -47.5055 0.857508
0.883333 -47.4779 0.857808
0.883634 -47.4503 0.857808
0.883934 -47.4228 0.858108
0.884234 -47.3953 0.858408
0.884535 -47.3678 0.858709
0.884835 -47.3404 0.858709
0.885135  -47.313 0.859009
0.885435 -47.2857 0.859309
0.885736 -47.2584 0.859309
0.886036 -47.2312  0.85961
0.886336 -47.2039  0.85991
0.886637 -47.1768  0.85991
0.886937 -47.1496  0.86021
0.887237 -47.1225 0.860511
0.887538 -47.0955 0.860811
0.887838 -47.0685 0.860811
0.888138 -47.0415 0.861111
0.888438 -47.0146 0.861411
0.888739 -46.9877 0.861411
0.889039 -46.9608 0.861712
0.889339  -46.934 0.862012
 0.88964 -46.9072 0.862312
 0.88994 -46.8805 0.862312
 0.89024 -46.8538 0.862613
0.890541 -46.8271 0.862913
0.890841 -46.8005 0.862913
0.891141 -46.7739 0.863213
0.891441 -46.7473 0.863514
0.891742 -46.7208 0.863814
0.892042 -46.6943 0.863814
0.892342 -46.6679 0.864114
0.892643 -46.6415 0.864414
0.892943 -46.6152 0.864414
0.893243 -46.5888 0.864715
0.893544 -46.5625 0.865015
0.893844 -46.5363 0.865315
0.894144 -46.5101 0.865315
0.894444 -46.4839 0.865616
0.894745 -46.4578 0.865916
0.895045 -46.4317 0.866216
0.895345 -46.4056 0.866216
0.895646 -46.3796 0.866517
0.895946 -46.3536 0.866817
0.896246 -46.3277 0.866817
0.896547 -46.3017 0.867117
0.896847 -46.2759 0.867417
0.897147   -46.25 0.867718
0.897447 -46.2242 0.867718
0.897748 -46.1984 0.868018
0.898048 -46.1727 0.868318
0.898348  -46.147 0.868619
0.898649 -46.1213 0.868619
