 kgrid  ValNew  Policy 
     0.85  -7.53791      0.85
   0.8503  -7.51408      0.85
 0.850601  -7.49034      0.85
 0.850901   -7.4667      0.85
 0.851201  -7.44315      0.85
 0.851502  -7.41969      0.85
 0.851802  -7.39633      0.85
 0.852102  -7.37306      0.85
 0.852402  -7.34988      0.85
 0.852703  -7.32679      0.85
 0.853003   -7.3038      0.85
 0.853303  -7.28089      0.85
 0.853604  -7.25808      0.85
 0.853904  -7.23535      0.85
 0.854204  -7.21272      0.85
 0.854505  -7.19017      0.85
 0.854805  -7.16771      0.85
 0.855105  -7.14534      0.85
 0.855405  -7.12306      0.85
 0.855706  -7.10087      0.85
 0.856006  -7.07876      0.85
 0.856306  -7.05674      0.85
 0.856607  -7.03481      0.85
 0.856907  -7.01296      0.85
 0.857207   -6.9912      0.85
 0.857508  -6.96952      0.85
 0.857808  -6.94793      0.85
 0.858108  -6.92642      0.85
 0.858408  -6.90499      0.85
 0.858709  -6.88365      0.85
 0.859009  -6.86239      0.85
 0.859309  -6.84121      0.85
  0.85961  -6.82012      0.85
  0.85991  -6.79911      0.85
  0.86021  -6.77818      0.85
 0.860511  -6.75733      0.85
 0.860811  -6.73656      0.85
 0.861111  -6.71587      0.85
 0.861411  -6.69526      0.85
 0.861712  -6.67473      0.85
 0.862012  -6.65428      0.85
 0.862312  -6.63391      0.85
 0.862613  -6.61362      0.85
 0.862913   -6.5934      0.85
 0.863213  -6.57327      0.85
 0.863514  -6.55321      0.85
 0.863814  -6.53323      0.85
 0.864114  -6.51332      0.85
 0.864414  -6.49349      0.85
 0.864715  -6.47374      0.85
 0.865015  -6.45406      0.85
 0.865315  -6.43446      0.85
 0.865616  -6.41493      0.85
 0.865916  -6.39548      0.85
 0.866216   -6.3761      0.85
 0.866517  -6.35679      0.85
 0.866817  -6.33756      0.85
 0.867117  -6.31841      0.85
 0.867417  -6.29932      0.85
 0.867718  -6.28031      0.85
 0.868018  -6.26137      0.85
 0.868318   -6.2425      0.85
 0.868619   -6.2237      0.85
 0.868919  -6.20498      0.85
 0.869219  -6.18632      0.85
  0.86952  -6.16774      0.85
  0.86982  -6.14922      0.85
  0.87012  -6.13078      0.85
  0.87042   -6.1124      0.85
 0.870721   -6.0941      0.85
 0.871021  -6.07586      0.85
 0.871321   -6.0577      0.85
 0.871622   -6.0396      0.85
 0.871922  -6.02157      0.85
 0.872222   -6.0036      0.85
 0.872523  -5.98571      0.85
 0.872823  -5.96788      0.85
 0.873123  -5.95012      0.85
 0.873423  -5.93242      0.85
 0.873724  -5.91479      0.85
 0.874024  -5.89723      0.85
 0.874324  -5.87973      0.85
 0.874625   -5.8623      0.85
 0.874925  -5.84493      0.85
 0.875225  -5.82763      0.85
 0.875526  -5.81039      0.85
 0.875826  -5.79322      0.85
 0.876126  -5.77611      0.85
 0.876426  -5.75906      0.85
 0.876727  -5.74208      0.85
 0.877027  -5.72516      0.85
 0.877327   -5.7083      0.85
 0.877628  -5.69151      0.85
 0.877928  -5.67477      0.85
 0.878228   -5.6581      0.85
 0.878529   -5.6415      0.85
 0.878829  -5.62495      0.85
 0.879129  -5.60846      0.85
 0.879429  -5.59204      0.85
  0.87973  -5.57567      0.85
  0.88003  -5.55937      0.85
  0.88033  -5.54312      0.85
 0.880631  -5.52694      0.85
 0.880931  -5.51081      0.85
 0.881231  -5.49474      0.85
 0.881532  -5.47874      0.85
 0.881832  -5.46279      0.85
 0.882132   -5.4469      0.85
 0.882432  -5.43106      0.85
 0.882733  -5.41529      0.85
 0.883033  -5.39957      0.85
 0.883333  -5.38391      0.85
 0.883634  -5.36831      0.85
 0.883934  -5.35277      0.85
 0.884234  -5.33728      0.85
 0.884535  -5.32185      0.85
 0.884835  -5.30647      0.85
 0.885135  -5.29115      0.85
 0.885435  -5.27589      0.85
 0.885736  -5.26068      0.85
 0.886036  -5.24552      0.85
 0.886336  -5.23043      0.85
 0.886637  -5.21538      0.85
 0.886937  -5.20039      0.85
 0.887237  -5.18546      0.85
 0.887538  -5.17057      0.85
 0.887838  -5.15575      0.85
 0.888138  -5.14097      0.85
 0.888438  -5.12625      0.85
 0.888739  -5.11158      0.85
 0.889039  -5.09697      0.85
 0.889339  -5.08241      0.85
  0.88964   -5.0679      0.85
  0.88994  -5.05344      0.85
  0.89024  -5.03903      0.85
 0.890541  -5.02468      0.85
 0.890841  -5.01038      0.85
 0.891141  -4.99612      0.85
 0.891441  -4.98192      0.85
 0.891742  -4.96777      0.85
 0.892042  -4.95367      0.85
 0.892342  -4.93963      0.85
 0.892643  -4.92563      0.85
 0.892943  -4.91168      0.85
 0.893243  -4.89778      0.85
 0.893544  -4.88393      0.85
 0.893844  -4.87013      0.85
 0.894144  -4.85638      0.85
 0.894444  -4.84268      0.85
 0.894745  -4.82902      0.85
 0.895045  -4.81542      0.85
 0.895345  -4.80186      0.85
 0.895646  -4.78835      0.85
 0.895946  -4.77489      0.85
 0.896246  -4.76148      0.85
 0.896547  -4.74811      0.85
 0.896847  -4.73479      0.85
 0.897147  -4.72152      0.85
 0.897447   -4.7083      0.85
 0.897748  -4.69512      0.85
 0.898048  -4.68199      0.85
 0.898348   -4.6689      0.85
 0.898649  -4.65586      0.85
 0.898949  -4.64287      0.85
 0.899249  -4.62992      0.85
  0.89955  -4.61702      0.85
  0.89985  -4.60416      0.85
  0.90015  -4.59135      0.85
  0.90045  -4.57858      0.85
 0.900751  -4.56586      0.85
 0.901051  -4.55318      0.85
 0.901351  -4.54055      0.85
 0.901652  -4.52796      0.85
 0.901952  -4.51541      0.85
 0.902252  -4.50291      0.85
 0.902553  -4.49045      0.85
 0.902853  -4.47803      0.85
 0.903153  -4.46566      0.85
 0.903453  -4.45333      0.85
 0.903754  -4.44105      0.85
 0.904054   -4.4288      0.85
 0.904354   -4.4166      0.85
 0.904655  -4.40444      0.85
 0.904955  -4.39233      0.85
 0.905255  -4.38025      0.85
 0.905556  -4.36822      0.85
 0.905856  -4.35623      0.85
 0.906156  -4.34428      0.85
 0.906456  -4.33237      0.85
 0.906757   -4.3205      0.85
 0.907057  -4.30868      0.85
 0.907357  -4.29689      0.85
 0.907658  -4.28515      0.85
 0.907958  -4.27344      0.85
 0.908258  -4.26178      0.85
 0.908559  -4.25015      0.85
 0.908859  -4.23857      0.85
 0.909159  -4.22702      0.85
 0.909459  -4.21552      0.85
  0.90976  -4.20405      0.85
  0.91006  -4.19263      0.85
  0.91036  -4.18124      0.85
 0.910661  -4.16989      0.85
 0.910961  -4.15858      0.85
