 kgrid  ValNew  Policy 
    0.85 -18.6226     0.85
  0.8503 -18.5827     0.85
0.850601  -18.543     0.85
0.850901 -18.5034     0.85
0.851201 -18.4641     0.85
0.851502 -18.4248     0.85
0.851802 -18.3858     0.85
0.852102 -18.3469     0.85
0.852402 -18.3082     0.85
0.852703 -18.2697     0.85
0.853003 -18.2313     0.85
0.853303 -18.1931     0.85
0.853604 -18.1551     0.85
0.853904 -18.1172     0.85
0.854204 -18.0795     0.85
0.854505 -18.0419     0.85
0.854805 -18.0046     0.85
0.855105 -17.9673     0.85
0.855405 -17.9303     0.85
0.855706 -17.8934     0.85
0.856006 -17.8566     0.85
0.856306   -17.82     0.85
0.856607 -17.7836     0.85
0.856907 -17.7473     0.85
0.857207 -17.7112     0.85
0.857508 -17.6752     0.85
0.857808 -17.6394     0.85
0.858108 -17.6038     0.85
0.858408 -17.5683     0.85
0.858709 -17.5329     0.85
0.859009 -17.4977     0.85
0.859309 -17.4627     0.85
 0.85961 -17.4277     0.85
 0.85991  -17.393     0.85
 0.86021 -17.3584     0.85
0.860511 -17.3239     0.85
0.860811 -17.2896     0.85
0.861111 -17.2554     0.85
0.861411 -17.2214     0.85
0.861712 -17.1875     0.85
0.862012 -17.1538     0.85
0.862312 -17.1202     0.85
0.862613 -17.0867     0.85
0.862913 -17.0534     0.85
0.863213 -17.0202     0.85
0.863514 -16.9872     0.85
0.863814 -16.9543     0.85
0.864114 -16.9215     0.85
0.864414 -16.8889     0.85
0.864715 -16.8564     0.85
0.865015 -16.8241     0.85
0.865315 -16.7919     0.85
0.865616 -16.7598     0.85
0.865916 -16.7278     0.85
0.866216  -16.696     0.85
0.866517 -16.6643     0.85
0.866817 -16.6328     0.85
0.867117 -16.6014     0.85
0.867417 -16.5701     0.85
0.867718 -16.5389     0.85
0.868018 -16.5079     0.85
0.868318  -16.477     0.85
0.868619 -16.4462     0.85
0.868919 -16.4156     0.85
0.869219 -16.3851     0.85
 0.86952 -16.3547     0.85
 0.86982 -16.3244     0.85
 0.87012 -16.2943     0.85
 0.87042 -16.2643     0.85
0.870721 -16.2344     0.85
0.871021 -16.2046     0.85
0.871321 -16.1749     0.85
0.871622 -16.1454     0.85
0.871922  -16.116     0.85
0.872222 -16.0867     0.85
0.872523 -16.0576     0.85
0.872823 -16.0285     0.85
0.873123 -15.9996     0.85
0.873423 -15.9708     0.85
0.873724 -15.9421     0.85
0.874024 -15.9135     0.85
0.874324 -15.8851     0.85
0.874625 -15.8567     0.85
0.874925 -15.8285     0.85
0.875225 -15.8004     0.85
0.875526 -15.7724     0.85
0.875826 -15.7445     0.85
0.876126 -15.7168     0.85
0.876426 -15.6891     0.85
0.876727 -15.6616     0.85
0.877027 -15.6341     0.85
0.877327 -15.6068     0.85
0.877628 -15.5796     0.85
0.877928 -15.5525     0.85
0.878228 -15.5255     0.85
0.878529 -15.4986     0.85
0.878829 -15.4718     0.85
0.879129 -15.4452     0.85
0.879429 -15.4186     0.85
 0.87973 -15.3922     0.85
 0.88003 -15.3658     0.85
 0.88033 -15.3396     0.85
0.880631 -15.3134     0.85
0.880931 -15.2874     0.85
0.881231 -15.2615     0.85
0.881532 -15.2356     0.85
0.881832 -15.2099     0.85
0.882132 -15.1843     0.85
0.882432 -15.1587   0.8503
0.882733 -15.1332   0.8503
0.883033 -15.1077 0.850601
0.883333 -15.0823 0.850601
0.883634  -15.057 0.850901
0.883934 -15.0317 0.851201
0.884234 -15.0064 0.851201
0.884535 -14.9812 0.851502
0.884835 -14.9561 0.851502
0.885135  -14.931 0.851802
0.885435 -14.9059 0.851802
0.885736  -14.881 0.852102
0.886036  -14.856 0.852102
0.886336 -14.8312 0.852402
0.886637 -14.8063 0.852402
0.886937 -14.7816 0.852703
0.887237 -14.7568 0.852703
0.887538 -14.7322 0.853003
0.887838 -14.7076 0.853003
0.888138  -14.683 0.853303
0.888438 -14.6585 0.853303
0.888739  -14.634 0.853604
0.889039 -14.6096 0.853604
0.889339 -14.5853 0.853904
 0.88964  -14.561 0.853904
 0.88994 -14.5367 0.854204
 0.89024 -14.5125 0.854204
0.890541 -14.4884 0.854505
0.890841 -14.4643 0.854505
0.891141 -14.4402 0.854805
0.891441 -14.4163 0.854805
0.891742 -14.3923 0.855105
0.892042 -14.3684 0.855105
0.892342 -14.3446 0.855405
0.892643 -14.3208 0.855706
0.892943  -14.297 0.855706
0.893243 -14.2734 0.856006
0.893544 -14.2497 0.856006
0.893844 -14.2261 0.856306
0.894144 -14.2026 0.856306
0.894444 -14.1791 0.856607
0.894745 -14.1556 0.856607
0.895045 -14.1322 0.856907
